急	1	657
出	3	28
务	1	245
贵	1	873
呢	1	383
通	1	190
课	1	1208
胖	1	1893
酒	1	797
它	1	107
顾	1	815
矮	1	2027
示	1	425
去	3	64
举	1	586
史	1	456
刷	1	1824
帮	2	769
常	2	187
葡	1	2130
钱	1	603
昨	1	1475
菜	2	1266
图	2	476
儿	5	192
天	5	78
识	1	340
情	2	120
备	1	397
告	1	310
经	4	62
裤	1	2090
朋	1	882
铅	1	2641
笑	1	346
米	2	575
该	1	319
成	2	59
敢	1	795
极	1	363
哭	1	1210
旅	1	950
妈	2	750
友	1	594
音	2	540
颜	1	1545
元	1	370
当	1	71
居	1	678
留	1	554
骑	1	1398
水	3	202
几	2	211
能	2	35
鲜	1	958
思	1	298
害	1	579
忘	1	1056
眼	2	281
共	2	330
街	1	1101
束	1	998
吧	1	470
绩	1	1547
家	3	56
影	2	390
发	4	47
画	1	883
邻	1	1659
鱼	1	852
道	2	52
姐	3	830
末	1	1164
非	1	283
和	1	19
难	2	295
商	1	402
香	1	776
星	1	537
药	1	662
感	2	243
据	1	313
司	2	278
四	1	226
姓	1	1149
遇	1	899
夫	1	377
总	1	228
打	4	223
短	1	889
对	2	33
复	1	426
国	2	20
定	2	77
咖	1	2379
跑	1	864
主	1	87
爸	2	1050
办	2	367
大	2	17
馆	3	1011
铁	1	779
锻	1	2531
路	1	305
请	2	421
玩	1	1072
孩	1	533
试	2	643
求	1	312
做	1	246
少	2	233
快	2	366
师	1	333
慢	1	822
网	1	605
午	3	1004
客	2	583
于	2	40
门	1	185
应	1	144
得	3	39
第	1	114
阳	1	650
千	1	599
时	3	25
箱	2	1453
城	1	413
而	1	36
哥	2	804
看	2	76
南	1	307
云	1	692
工	1	118
作	3	49
调	1	400
名	2	203
舒	1	1459
再	2	242
筷	1	3110
意	5	104
忙	2	827
公	5	115
宾	1	1534
然	4	55
一	12	2
刮	1	2350
椅	1	1663
汽	1	1200
张	1	318
物	2	142
境	1	582
介	1	831
五	1	279
蕉	1	3104
谢	2	897
奇	1	563
书	2	282
视	1	438
懂	1	1211
间	4	135
羊	1	1337
阴	1	987
子	16	37
错	1	638
啤	1	2849
怪	1	775
送	1	656
法	1	65
别	3	222
系	2	216
结	2	236
诉	1	595
秋	1	1151
问	2	137
澡	1	2695
带	1	342
冷	1	700
数	1	231
茶	1	1272
老	2	179
提	1	196
早	1	462
车	4	361
句	1	707
乐	2	619
练	1	1005
唱	1	1252
晴	1	1968
换	1	824
鸡	1	1391
那	1	38
不	4	4
镜	1	1251
语	2	493
担	1	720
拿	1	645
新	3	161
气	3	217
腿	1	1351
球	2	628
日	3	101
进	1	81
往	1	369
更	1	221
期	1	253
中	4	14
河	1	574
季	1	1279
字	3	393
努	1	1081
旁	1	981
头	1	147
表	3	177
绿	1	1088
在	3	6
找	1	466
决	2	273
辆	1	1375
平	1	215
下	4	42
样	2	88
室	2	708
但	2	95
始	1	381
亮	2	840
突	1	484
雪	1	1003
关	5	127
吗	1	453
她	1	91
听	1	285
卡	1	717
希	1	508
文	2	148
纸	1	1020
习	4	676
冒	1	1222
来	3	15
久	1	637
卖	1	974
搬	1	1766
典	2	1044
答	1	559
饿	1	1911
没	3	72
鸟	1	1263
足	1	527
们	1	13
小	4	83
趣	2	1065
者	1	103
查	1	459
场	1	249
京	1	566
后	5	48
借	1	984
祝	1	1651
读	1	752
便	2	271
干	1	353
渴	1	1972
